text,label
main mu kek tai cok,Abusive
telat ngasih tau elu edan sarap gue bergaul elu,Abusive
kadang berfikir percaya tuhan jatuh berkalikali kadang tuhan ninggalkan orangtuaku berencana berpisah kakakku memilih kristen,Normal
aku ku tau matamu sipit diliat,Hate Speech
capek deh ketemu kaum cina kapir gini match,Hate Speech
skill cacad ngide jungler cok,Abusive
gg main lo keren bro,Normal
gue aja kelar rewatch aldnoah zero kampret emang endingnya karakter utama cowonya kena friendzone bray xd url,Normal
admin belanja port terbaik nak makan ai kepal milo ai kepal horlicks cendol toping kaw doket mano tu,Normal
enak lg klo smbil ngewe,Harassment
gw jari lu sebelom gw ukur nyali bacot lu xf x f x x f,Abusive
banci kaleng malu ga nyungsep koe url,Harassment
kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi,Abusive
maennya goblok banget sih geblek banget dah,Abusive
bu guru enakan jablay guru esde sih kayaknya menikmati pecun guru,Harassment
minum tuh kencing onta emang dasar otak onta,Abusive
fikiran ampas banget ya,Normal
dasar anak babi kau,Abusive
cowo gentle kalo ga gentle namanya banci,Harassment
anak anjing,Abusive
asw ya gua jarang ngambek takut wkkwkwkwkw gua bucin,Normal
kalo noob peluang disakitin nya gede si,Normal
goblok banget sih mainnya gitu aja kalah mulu,Abusive
mbak ki gatel lonte cowokku ikuti sange si,Harassment
ggwp gan mantap banget,Normal
maen apapun bekerjasama,Normal
si kerjaannya delay mulu setan,Abusive
menurutku pintu sorga pintu sorga asli pintu hatimu modusbanget,Normal
mainmu noob banget ga bagusnya,Abusive
mah sdh neneknenek sy heran kaum cebong bisanya bohong,Hate Speech
parah lo mainnya mati aja,Abusive
liat tuh anjing jawa babi cina jalan bareng,Hate Speech
gak kak emak mah gak demen ama sipit wkwk,Hate Speech
kelakuan homok jaman now ngentot aja live,Harassment
ga kak gua orang jawa maaf yak gua orang palembang kakak aja deh yg belajar aksara jawa kalak belajar budaya palembang,Normal
pegawai guardian training kek mentang gue kek gembel cuman kaos flat shoe nanya dijutekin bangsad emang male belinya kabur gua matahari,Abusive
xe x x dpara bajingan melukai lady menerima ganjaran seratus kali lipat,Abusive
lawannya pro banget auto kalah ni kayaknya,Normal
gw noob ajarin ya suhu,Normal
edan emang goollnya fabiano,Normal
gapernah mendalami alquran ya bang pantesan mulutnya kaya orang kafir bejat hina,Abusive
imba bener dah maennya ga kasih kesempatan ngulti,Normal
anjir kali lihat orang bego debat pilkada kerjanya nyerang karakter shame on you,Abusive
keanekaragaman budaya suku agama sesungguhnya kekayaan,Normal
gila mainnya pro banget ggwp gan,Normal
ga nyangka maennya seimba gw noob loh,Normal
